id,text,stance,Novelty_Quora,Emotion_Label,com_femotion
1.25E+18,trump ignoring reports it causes heart and vision problems in limited testing in sweden and britain again promotes hydroxychloroquine as a cure for the pandemic but covers his liability with so what do i know im not a doctor and five times what do you have to lose,1,0,0,0
1.25E+18,president donald trump reportedly owns a stake in a company that produces hydroxychloroquine the antimalaria drug he has repeatedly touted as a coronavirustreatment even though his experts say theres no strong evidence it works,1,0,0,0
1.25E+18,study touting hydroxychloroquine as covid19 cure didnt meet standard publisher,1,0,1,1
1.25E+18,i can point to random chemicals like hydroxychloroquine shrug my shoulders and say maybe thatll work it hasnt stopped professionals worldwide ill send you my revolut since i dont trust you legacy banking types farther than i can throw you,1,1,1,0
1.25E+18,hydroxychloroquine how an unproven drug became trumps coronavirus miracle cure,1,0,0,0
1.25E+18,when hating president trump is more important than saving lives you know youre a demacrat hydroxychloroquine cnnisfakenews tds covid19usa coronavirus antivaxxers coronavirustruth covid19out 25theamendmentnow boycotttrumppressconferences,2,1,0,0
1.25E+18,coronavirus tracker trump holds financial interests in chloroquine maker  fiercepharma hydroxychloroquine is scum only human garbage would look to make money off of human tragedy covid19 over 11000 deaths ,1,0,1,0
1.25E+18,trump and associates have financial stake in potential coronavirus drug hydroxychloroquine according to report,1,0,1,0
1.25E+18,hydroxychloroquine may work against the coronavirus but the media are refusing to acknowledge it  washington examiner hydroxychloroquine may work against the coronavirus but the media are refusing to acknowledge itwashington examinerview full,2,1,1,1
1.25E+18,dear doctor  my pharmacy says it will fill a script from any doctor anywhere in my country i have final stage copd and afraid to get the coronavirus as it might be a death sentence for me  dr oz has prescribed hydroxychloroquine and zinc and zephrimiacin,1,1,1,1
1.25E+18,hydroxychloroquine the unproven corona drug trump is threatening india for covid19 360wisemedia,1,0,0,0
1.25E+18,a democratic lawmaker took hydroxychloroquine reversed her serious covid19 illness and saved her life she is grateful to president trump amazing,2,1,0,0
1.25E+18,covidcure  hydroxychloroquineandazithromycin hydroxychloroquinecures   you have a cure for covid19 you just cant make billions off it  try a little humanity for a change  that would be novel,2,1,1,1
1.25E+18,president donald trump reportedly owns a stake in a company that produces hydroxychloroquine the antimalaria drug he has repeatedly touted as a coronavirustreatment even though his experts say theres no strong evidence it works,1,0,0,0
1.25E+18,donald trump has stake in hydroxychloroquine drugmaker report the president has repeatedly touted the antimalaria drug as a coronavirus treatment despite a lack of medical evidence,1,0,1,1
1.25E+18,the times reports the presidents family trusts all have investments in a mutual fund whose largest holding is sanofi the manufacturer of plaquenil the brandname version of hydroxychloroquine via,1,1,0,0
1.25E+18,we are making a list of every news outlet and any reporter who has pushed and is currently pushing negative propaganda about this drug  for political reasons amp therefore costing american lives  all docs know hydroxychloroquine has been proven safe and effectivly kills covid19,2,1,1,1
1.25E+18,president donald trump reportedly owns a stake in a company that produces hydroxychloroquine the antimalaria drug he has repeatedly touted as a coronavirustreatment even though his experts say theres no strong evidence it works,1,0,0,0
1.25E+18,1 hydroxychloroquine is not a proven medicine for covid 19 2 if we have surplus and capacity we will definitely help the world 3 if we need help from any friendly nation we would request and seek help 4 retaliation is a common word used in battle coronavirus,1,1,1,1
1.25E+18,you should publicly state that neither you nor anyone in your family will ever take hydroxychloroquine to treat covid19 ailments stand by your principals publicly otherwise you risk exposing the fact that you are nothing but a scurrying cockroach,1,1,1,1
1.25E+18,democrat state rep from michigan says hydroxychloroquine president trump helped save her life after she tested positive for coronavirus,2,1,0,1
1.25E+18,democratic state lawmaker says trump touting hydroxychloroquine as coronavirus treatment saved her life  theblaze,2,1,0,0
1.25E+18,yeah just take it i mean why mess with all the test tubes and the laboratories that sciency stuff just gets in the way  hydroxychloroquine how an unproven drug became trumps coronavirus miracle cure,1,0,1,1
1.25E+18,scientists hope chloroquine and hydroxychloroquine  may be used to treat the coronavirus but early studies have provided mixed evidence proving their effectiveness and the drugs may entail risks such as vision problems or cardiac arrest  yes thank you,1,1,0,0
1.25E+18,democratic state lawmaker says trump touting hydroxychloroquine as coronavirus treatment saved her life  theblaze wonder how many lives hav been lost due to trumphating dems amp msm demonizing this drugs use u petty vile democrap losers,2,1,1,1
1.25E+18,trump holds financial interest in pharmaceutical company that produces hydroxychloroquine nyt trump and his allies have financial ties to companies that manufacture untested drug hes touting for covid19,1,0,0,0
1.25E+18,my life and that of millions of other people who depend on hydroxychloroquine to treat lupus changed in that brief moment our lives were suddenly more at,1,0,1,0
1.25E+18,bullshit  get your facts beside if anyone get sick from that china virus and that person dont like treatment let them be but any rational american who want to fight that pandemic is free to use hydroxychloroquine,2,1,1,1
1.25E+18,medical professionals listen to the medical professionals this mad man is profiteering off of the deaths of americans he is threatening other countries over what exactly a magic bean there is no medical science that backs hydroxychloroquine as a cure for covid19,1,1,1,1
1.25E+18,my life and that of millions of other people who depend on hydroxychloroquine to treat lupus changed in that brief moment our lives were suddenly more at,1,0,1,0
1.25E+18,hydroxychloroquine increases risk of cardiac arrest via,1,0,0,0
1.25E+18,see that i can agree to is there nuance in the recommendation absolutely even currently clinically proven drugs have limitation and parameters simply throwing out chloroquine is the covid19 cure that is the essence here and that i have issue with,1,0,1,1
1.25E+18,quackchloroquine is a no no,1,1,1,1
1.25E+18,my life and that of millions of other people who depend on hydroxychloroquine to treat lupus changed in that brief moment our lives were suddenly more at,1,0,1,0
1.25E+18,mr trump himself has a small personal financial interest in sanofi the french drugmaker that makes the brandname version of hydroxychloroquine  no worse pharma conflict of interest than profiteering over people in a pandemic  as president covid19,1,0,0,0
1.25E+18,mr trump himself has a small personal financial interest in sanofi the french drugmaker that makes plaquenil the brandname version of hydroxychloroquine the new york times,1,0,0,0
1.25E+18,there is a difference between an emergency use order to permit the use of hydroxychloroquine and actual fda approval indication for covid19 is not part of the fdaapproved,1,0,1,0
1.25E+18,second detroit lawmaker gets covid19 touts hydroxychloroquine with saving life,2,1,1,1
1.25E+18, dr ozs will have a renowned rheumatologist on his show today discussing how patients wrheumatology illnesses who take hydroxychloroquine are not getting covid18 dr oz is asking anyone wra or lupus who has gotten covid19 while on med to write him on his website,2,1,1,1
1.25E+18,democrat state rep from michigan says hydroxychloroquine president trump helped save her life after she tested positive for coronavirus,2,1,0,1
1.25E+18,democrat state rep from michigan says hydroxychloroquine president trump helped save her life after she tested positive for coronavirus via,2,1,0,1
1.25E+18,chloroquine looks promising to treat covid19 expert,2,1,0,0
1.25E+18,funny thing is fauci has recomended a hydroxychloroquine like predicament before read this piece in 2013  ,2,1,1,1
1.25E+18,why are people still dying from this when we have a treatment hydroxychloroquine righttotry coronavirus coronaviruspandemic corruptdemocrats 3000unemployeddoctors coronaviruspandemic,2,1,1,1
1.25E+18,but of course he does why would he be pushing it if he didnt covid19 hydroxychloroquine corruption,1,0,1,0
1.25E+18,president donald trump reportedly owns a stake in a company that produces hydroxychloroquine the antimalaria drug he has repeatedly touted as a coronavirus treatment even though his experts say theres no strong evidence it works,1,0,0,0
1.25E+18,la doctor covid19 patients go from very ill to symptomfree in 8 to 12 hours using hydroxychloroquine and zinc,2,1,0,1
1.25E+18,is zinc the key to successful treatment of covid19 with,2,1,1,1
1.25E+18,trump holds financial interest in pharmaceutical company that produces hydroxychloroquine nyt trump and his allies have financial ties to companies that manufacture untested drug hes touting for covid19,1,0,0,0
1.25E+18,good morning everyone except the coronagiddy keyboard clinicians trying to delegitimize the efficacy of hydroxychloroquine on covid19 patients in organ failuredrowning in their own fluids be glad we have treatmentyou could need it next thanks ,2,1,0,0
1.25E+18,americans question and be skeptical of the media echo chamber downplaying and spreading disinformation on hydroxychloroquine  choosing politics over life saving,2,1,1,1
1.25E+18,hydroxychloroquine how an unproven drug became trumps coronavirus miracle cure  coronavirus source the guardian ,1,0,0,0
1.25E+18,under pressure of us president trump goi failed to secure indias interest  does india have enough supply of hydroxychloroquine which is being used for corona virus treatment 56 inch chest is only for propaganda ,2,1,1,1
1.25E+18,bengalchemical pdu is d only co preparing hydroxchloroquine a medicine could fight coronavirus a world epidemic but itself suffering from industrial virus put2sale but high court intervenes union govt should revive it on war footings,2,1,0,0
1.25E+18,reminder if you own stock in a pharmaceutical company you have a financial interest in hydroxychloroquine  its not an uncommon drug  maybe focus on the fact that a wuhan company is a leading manufacturer of it,2,1,0,1
1.25E+18,    donald trump reportedly owns a stake in a company that produces hydroxychloroquine the antimalaria drug he has repeatedly touted as a coronavirustreatment even though his experts say theres no strong evidence it works,1,0,1,1
1.25E+18,the chloroquine controversy leftists holding onto lies,2,1,1,1
1.25E+18,covid19 patient successfully treated with  hydroxychloroquine and azithromycin  in nj is a ray hope  opinion,2,1,1,1
1.25E+18,covid19 patient successfully treated with  hydroxychloroquine and azithromycin  in nj is a ray hope  opinion,2,1,1,1
1.25E+18,dear kiani please motivate your mamu and tell him that he will be fine very soon if doctors allow please ask them to give chloroquinephosphate tablet and keep on monitor his health,2,1,0,0
1.25E+18,covid19 patient successfully treated with  hydroxychloroquine and azithromycin  in nj is a ray hope  opinion,2,1,1,1
1.25E+18,chloroquine is said go be reacting with covid19 patients and becoming poisonous as of other illnesses i think its doing its job its been specified that the negative reaction is happening with covid19 sufferers,1,0,1,0
1.25E+18,go 1 further save livesput the us on the world map use hydroxychloroquine as a prophylactic in all health care workers it is safe amp open all md offices to stop the run on the ers use full dose on anyone that is sick with zpak amp zn mn will be back at work in 2 wks,2,1,0,1
1.25E+18,twitter forces laura ingraham to delete post on chloroquine helping coronavirus patients via,2,1,1,1
1.25E+18,oregon now only allows hydroxychloroquine to be prescribed for covid19 for hospitalized patients,2,1,1,1
1.25E+18,michigan democrat governor asks feds for hydroxychloroquine to treat coronavirus four days after banning use,2,1,1,1
1.25E+18,michigan democrat governor asks feds for hydroxychloroquine to treat coronavirus four days after banning use,2,1,1,1
1.25E+18,well my my my michigan democrat governor asks feds for hydroxychloroquine to treat coronavirus four days after banning use via,2,1,0,0
1.25E+18,michigan democrat governor asks feds for hydroxychloroquine to treat coronavirus four days after banning use via,2,1,1,1
1.25E+18,get a prescription of fda approved hydroxychloroquine and  azithromycin and return to work to sing the high praises of the cure,2,1,0,0
1.25E+18,its rather hard to interpret that case he survived covid19 without severe pneumonia thanks to hydroxychloroquine in spite of his old age and underlying disease or he shed virus for as long as 21 days or more in spite of hydroxychloroquine covid19 hydroxycloroquine,2,1,1,1
1.25E+18,dr vladimir zelenko has now treated 699 coronavirus patients with 100 success using hydroxychloroquine sulfate zinc and zpak updates,2,1,1,1
1.25E+18,murray also leaves out a key variable projection  one that would be easier to trace than the ongoing social distancing variable  that being a successful treatment protocol coming online hopefully thats now approved and being administered hydroxychloroquinezpak,2,1,1,1
1.25E+18,he is either clueless or lying hydroxychloroquine is not a new malaria drug its been approved for treating malaria for years the reason fda gave emergency approval so quickly is because its safe according to dr fauci evidence that it can treat covid19 is anecdotal,2,1,1,1
1.25E+18,but who is dr fauci and why are we paying his agency 40billion when he declined to test hydroxychloroquine and others they knew a possible cure for coronavirus since,2,1,1,1
1.25E+18,that means he has inside info that chloroquine is working,2,1,0,0
1.25E+18,michigan d gov whitmer reverses course on coronavirus drugs is now asking feds for hydroxychloroquine and chloroquine libtards are looking stupid,2,1,1,1
1.25E+18,michigan d gov whitmer reverses course on coronavirus drugs is now asking feds for hydroxychloroquine and chloroquine libtards are looking dumb as fuck,2,1,1,1
1.25E+18,my friend lou from new york just died from coronavirus it makes me soooo sad that because of politics that hydroxychloroquine and azithromycin are not the biggest story in the media ny only has 1100 people in a clinical trial  i miss my friend rip,2,1,0,1
1.25E+18,my friend lou from new york just died from coronavirus it makes me soooo sad that because of politics that hydroxychloroquine and azithromycin are not the biggest story in the media ny only has 1100 people in a clinical trial  i miss my friend rip,2,1,0,1
1.25E+18,the fda approved antimalaria medication hydroxychloroquineazithromycin to treat coronavirus patients if your fathergrandfather has coronavirus ask for prescription for the above from carestir health care ky asisa bpwmsbg,2,1,1,1
1.25E+18,my friend lou from new york just died from coronavirus it makes me soooo sad that because of politics that hydroxychloroquine and azithromycin are not the biggest story in the media ny only has 1100 people in a clinical trial  i miss my friend rip,2,1,0,1
1.25E+18,joe concha on twitter gov whitmer reverses course on coronavirus drugs is now asking feds for hydroxychloroquine and chloroquine i0rlum8wap  how about we trade your resignation for the meds useless idiot,2,1,1,1
1.25E+18,my friend lou from new york just died from coronavirus it makes me soooo sad that because of politics that hydroxychloroquine and azithromycin are not the biggest story in the media ny only has 1100 people in a clinical trial  i miss my friend rip,2,1,0,1
1.25E+18,start low doses of hydroxychloroquine as prophylactic for health care professionals amp immediate doses of that amp zpak to those positive both longtested safe drugs open doctors amp dentists officeskeep people out of ers,2,1,1,1
1.25E+18,my friend lou from new york just died from coronavirus it makes me soooo sad that because of politics that hydroxychloroquine and azithromycin are not the biggest story in the media ny only has 1100 people in a clinical trial  i miss my friend rip,2,1,0,1
1.25E+18,my opinion of covid solutions give every non dependent  over 18 financial aid retool countless domestic plants to manufacture medical aid be a front runner in hydroxychloroquine treatment  suggest everyone where a form of mask when leaving the house respect the us,2,1,1,1
1.25E+18,hydroxychloroquine may give you a heart attack cause blindness slow or stop the negative effects of covid19 do nothing andor may kill you  in this simple 41 ratio the odds  arent good  ive taken multiple forms of antimalaria medicine and i still had malaria 3 times,1,0,1,0
1.25E+18,no  the point is that at risk people are dying because no one seems to realize that south korea gave hydroxychloroquine  zinc to all atrisk people who tested positive for covid19 outpatient not wait for worse symptoms  fauci is ignoring this  trump isnt,2,1,0,0
1.25E+18, covid19patient trump seems to have started a massive selfexperiment with hydroxychloroquine  among the side effects of the drug muscle paralysis watch his jerky drainthetrump unfitforoffice,1,0,0,0
1.25E+18,then wake the fuck up and stop hiding information that can save lives hydroxychloroquine  ,2,1,1,1
1.25E+18,hydroxychloroquine actually helps though viruses dont exist like we think rather covid is a response to poisoning or exposure to extreme toxins like legit watch virusesarenotreal,2,1,1,1
1.25E+18,so many studies have indicated that hydroxychloroquine can be effective chinese study french studies x2  also in a poll of 6000  us doctors the 1 treatment for covid19 was hydroxychloroquine,2,1,1,1
1.25E+18,the who is not going to tell us what to do he insisted our doctors can do what they want  senegalese government spokesman abdou latif coulibaly said doctors in the country had seen a rapid improvement in patients treated with,2,1,1,1
1.25E+18,have you made any effort to understand why doctors are having success with hydroxychloroquine actemra  why they are encouraging zinc supplements with treatments benefits of zinc transport for penetrating the cell wall  slowing cytokine,2,1,1,1
1.25E+18,hydroxychloroquine every patient ive prescribed it to has been very very ill and within 8 to 12 hours they were basically symptomfree cardillo said in an interview sunday with kabctv so clinically i am seeing a,2,1,0,0
1.25E+18,no evidence of rapid antiviral clearance or clinical benefit with the combination of hydroxychloroquine and azithromycin in patients with severe covid19 coronavirususa coronapandemic,1,0,1,0
1.25E+18,la doctor is curing covid patients with hydroxychloroquine amp zinc,2,1,0,1
1.25E+18,this was a write up by the ncbi in drugs for the treatment of merssars which were both respiratory covid viruseswe have know all along that hydroxychloroquine was effectivebut the government stayed,2,1,1,1
1.25E+18,keep doing what we are doing hydroxychloroquineandazithromycin redchinalies firefaucinow bymailvotingisfraud thestormiscoming maga2020landside wwg1wga theplan thegreatawakening wethepeople votethemout2020 bringtherain restoregenflynnnow endthefed flushthefbitoilet,2,1,0,0
1.25E+18,if you have recently tested positive for coronavirus find a doctor who will give you hydrochloroquine and azithromycin placquenil and zpac i have seen it work within 12 hrs the chest tightening lessened and the fever gradually began to dr tease dont listen to the democrats,2,1,0,0
1.25E+18,approved for medical use 65 years ago hydroxychloroquine is now fda approved for emergency use for the coronavirus doctor in new york says he has essentially found a cure for covid19 combining hydroxychloroquine w zpaks 350 patients 100 success rate,2,1,1,1
1.25E+18,ty james  i agree we should be using it  a serious question how many of the people who recently passed away in nyc from covid19 were taking hydroxychloroquine and azithromycin,2,1,0,1
1.25E+18,is it true not 1 covid19 patient has died on hydrox questions for covid19 news conference to andrew cuomo andor dr fauci is it true that nearly no ny hydrochloroquine covid19 patients have died,2,1,0,1
1.25E+18,the and tpa released a joint statement that said they are opposed to the inappropriate ordering prescribing and dispensing of prescriptions for hydroxychloroquine chloroquine and azithromycin thanks for your leadership,1,0,1,1
1.25E+18,they dont say this on fake news doctors rate hydroxychloroquine most effective coronavirus treatment,2,1,1,1
1.25E+18,the evidence that social distancing is the reason for the flattering of the curve is not questionable folks any evidence that its the widespread use of the drug hydroxychloroquine is anecdotal got it,2,0,1,1
1.25E+18,heated disagreement breaks out over hydroxychloroquine there is little reliable evidence that the drugs hydroxychloroquineandazithromycin either alone or in combination are effective at treating coronavirus still trump said what do you have to,1,0,1,0
1.25E+18,chloroquine is biggest cures coronavirus cures flu cures hiv cures rhino virus any other virus  we have the cures,2,1,0,0
1.25E+18,in hydroxychloroquine  azithromycin treated covid19 patients 30 of patients had qtc increase of gt 40ms over baseline and 11 had qtc increased to gt500 ms this on top several anecdotal reports of ventricular arrhythmias and death ,1,0,1,1
1.25E+18,novartis trends as trump accused of pushing unproven use of hydroxychloroquine made by pharmaceutical company,1,0,1,1
1.25E+18,isnt it funny their well stocked with hydroxychloroquine  but cant produce enough ppe for our medical workers or covid19 tests for the public  someone is looking to make a fortune,1,0,1,0
1.25E+18,6200 doctors polled worldwide on most effective treatment for covid19  their resounding success came from  hydroxychloroquine zpaks  zinc,2,1,1,1
1.25E+18,no evidence of rapid antiviral clearance or clinical benefit with the combination of hydroxychloroquine and azithromycin in patients with severe covid19 infection,1,0,0,0
1.25E+18,this is a scientific study performed by the cdc in 2005 they knew then chloroquine was a potent inhibitor they failed to recall or neglected to help the american people gross negligence either,2,1,1,1
1.25E+18,  this doctor said hydroxychloroquine has worked on every patient he prescribed it to let people decide for themselves and lets not withhold any information stop being angry not good for you or anyone else,2,1,1,1
1.25E+18,yes  dr fauci is a director within the national institute of health  this study was published by the national institute of health in 2005  dr fauci knows about this study so why is he fighting against using chloroquine for,2,1,1,1
1.25E+18,everyone should have access if they want hydroxochloroquine,2,1,1,1
1.25E+18,people who are against hydroxychloroquine will be the first ones to beg for it if they contract the china coronavirus,2,1,1,1
1.25E+18,is this why ca has way fewer deaths than ny  la doctor seeing success with hydroxychloroquine to treat covid19 via,2,1,1,1
1.25E+18,if dr fauci and journalist naysayers and skeptics were in an ericu with the wuhanvirus theyd be the first ones screaming for hydroxychloroquine if they could find one case where it hasnt worked theyd be shouting it from the rooftops  hydroxychloroquine covid19,2,1,0,0
1.25E+18,i think we need a new razor i propose in lieu of hanlons razor trumps razor do not attribute to reason for that which is adequately explained by greed covid hydroxychloroquine followthemoney covid19 corona trumpplague,1,0,0,0
1.25E+18,fakenews enemyofthepeople trump says us stockpiling hydroxychloroquine which is not yet an fdaapproved covid19 treatment ,1,1,1,0
1.25E+18,john is a dear friend of minehe and i trained together for 2007 nyc marathonhes recovering after almost dying from coronavirus hydroxychloroquine  worked for him,2,1,1,1
1.25E+18,ben mcadams says he took hydroxychloroquine during recovery from coronavirus  washington times  on,2,1,1,1
1.25E+18,pundits and question peter navarro so condescendingly  theyre like hydroxychloroquine has side effects  youre not waiting for the science meanwhile people are dying from covid19  someone tell them st joseph baby aspirin has side effects too,2,1,1,1
1.25E+18,how did fake chloroquine enter nigeria,1,0,0,0
1.25E+18,kash jacksonzero studies done with hydroxychloroquine for covid19 no trials etc zero random people zero controls documentations amp groups with the drug amp others with placebos zero testing requires the subjects not know drug or placebo kashi liars will burn in hells ,1,1,1,0
1.25E+18,compilation of evidence on hydroxychloroquine for covid19,2,1,1,1
1.25E+18,tony boselli talks about his covid19 battle  wfan sports radio 66am 1019fm offensive lineman tony bosellis interview with boomer esiason where he discusses how hydroxychloroquine and azithromycin helped him recover from the coronavirus,2,1,1,1
1.25E+18,no such luck he wont even wear a mask hes just trying to corner a market skeevy greedy bastard trumpisaloser covid19 hydroxychloroquine,1,1,1,0
1.25E+18,science versus maga cult member darwin wins trumpliedpeopledied cult45 victim there will be more the hydroxychloroquine poisoning has only started hopefully will affect idiots more than people who listen to scientific experts and take appropriate measures covidiot,1,1,0,0
1.25E+18,tony boselli talks about his covid19 battle  wfan sports radio 66am 1019fm offensive lineman tony bosellis interview with boomer esiason where he discusses how hydroxychloroquine and azithromycin helped him recover from the coronavirus,2,1,1,1
